Contestant,TournamentName,Outcome,Winnings,Format
Jason Zuffranieri,Regular Season,"New champion: $26,600",26600,Regular Season
Roger Craig,Regular Season,"2-day champion: $114,000",77000,Regular Season
Roger Craig,Regular Season,"3rd place: $1,000",1000,Regular Season
Roger Craig,Regular Season,"6-day champion: $230,200",34399,Regular Season
Roger Craig,Regular Season,"5-day champion: $195,801",29000,Regular Season
Roger Craig,Regular Season,"4-day champion: $166,801",28400,Regular Season
Roger Craig,Regular Season,"3-day champion: $138,401",24401,Regular Season
Roger Craig,Regular Season,"New champion: $37,000",37000,Regular Season
Julia Collins,Regular Season,"3rd place: $1,000",1000,Regular Season
Julia Collins,Regular Season,"20-day champion: $428,100",18100,Regular Season
Julia Collins,Regular Season,"19-day champion: $410,000",18400,Regular Season
Julia Collins,Regular Season,"18-day champion: $391,600",18900,Regular Season
Julia Collins,Regular Season,"17-day champion: $372,700",35000,Regular Season
Julia Collins,Regular Season,"16-day champion: $337,700",22800,Regular Season
Julia Collins,Regular Season,"15-day champion: $314,900",30800,Regular Season
Julia Collins,Regular Season,"14-day champion: $284,100",22690,Regular Season
Julia Collins,Regular Season,"13-day champion: $261,410",15800,Regular Season
Julia Collins,Regular Season,"12-day champion: $245,610",14300,Regular Season
Julia Collins,Regular Season,"11-day champion: $231,310",10700,Regular Season
Julia Collins,Regular Season,"10-day champion: $220,610",21900,Regular Season
Julia Collins,Regular Season,"9-day champion: $198,710",28100,Regular Season
Julia Collins,Regular Season,"8-day champion: $170,610",25700,Regular Season
Julia Collins,Regular Season,"7-day champion: $144,910",20100,Regular Season
Julia Collins,Regular Season,"6-day champion: $124,810",22000,Regular Season
Julia Collins,Regular Season,"5-day champion: $102,810",29700,Regular Season
Julia Collins,Regular Season,"4-day champion: $73,110",20005,Regular Season
Julia Collins,Regular Season,"3-day champion: $53,105",16500,Regular Season
Julia Collins,Regular Season,"2-day champion: $36,605",21000,Regular Season
Julia Collins,Regular Season,"New champion: $15,605",15605,Regular Season
Brad Rutter,Tournament of Champions,Tournament champion,100000,Tournament
Brad Rutter,Ultimate Tournament of Champions,Ultimate champion,2000000,Tournament
Brad Rutter,Million Dollar Masters,Tournament champion,1000000,Tournament
Brad Rutter,IBM Challenge,2nd runner-up,100000,Tournament
Brad Rutter,All-Star Games,Winner,333333,Tournament
Brad Rutter,Battle of the Decades,Tournament champion,1000000,Tournament
Brad Rutter,Greatest of All Time,3rd place,250000,Tournament
Ken Jennings,Ultimate Tournament of Champions,1st runner-up,500000,Tournament
Ken Jennings,IBM Challenge,1st runner-up,150000,Tournament
Ken Jennings,All-Star Games,2nd place,100000,Tournament
Ken Jennings,Battle of the Decades,1st runner-up,100000,Tournament
Ken Jennings,Greatest of All Time,Winner,1000000,Tournament
James Holzhauer,Tournament of Champions,Tournament champion,250000,Tournament
James Holzhauer,Greatest of All Time,2nd place,250000,Tournament
David Madden,Tournament of Champions,3rd place,10000,Tournament
David Madden,All-Star Games,Winner,333333,Tournament
Larissa Kelly,Tournament of Champions,1st runner-up,100000,Tournament
Larissa Kelly,All-Star Games,Winner,333333,Tournament
Larissa Kelly,Battle of the Decades,2nd place,5000,Tournament
